horizon,mse,rmse,mae,mape,mdape,smape,coverage
265 days,218373.89004042948,467.3049219090566,366.78986721307484,0.15925605099178824,0.12693893401249667,0.1505035619302018,0.2
266 days,216414.43662107922,465.2036506962077,359.09396531717164,0.15295399978130184,0.11825576780778423,0.1447633565896007,0.25
267 days,241550.52880184376,491.47790265875,383.55196448347874,0.17152803948489453,0.12693893401249667,0.15782253292377174,0.275
268 days,242804.497892824,492.7519638650099,388.51631942663204,0.17396699348740868,0.12693893401249667,0.1601006668054401,0.3
269 days,242409.0876418037,492.35057392248837,398.0419203664086,0.1682241337111701,0.1364334781862279,0.15902306864925514,0.3
270 days,225429.1504562547,474.79379782833587,379.9342225870856,0.15096018588099303,0.12693893401249667,0.1465476721362668,0.35
271 days,224230.80326214066,473.53015032006215,380.5812277511417,0.15046449478030716,0.12693893401249667,0.14585891959158032,0.325
272 days,252716.4963301829,502.709156799618,411.80433141497116,0.15539222085364554,0.12693893401249667,0.15148903426350335,0.275
273 days,288808.3088726456,537.4088842516893,442.96887872347617,0.15937696466085108,0.13292483919738363,0.1560992083600362,0.25
274 days,312353.1682889823,558.8856486697277,464.73449571348954,0.1631586394531369,0.15151450196731675,0.16046565073746016,0.25
275 days,343763.47034331,586.3134574127648,484.0445049088668,0.16381883275936648,0.15151450196731675,0.161262787050303,0.25
295 days,316019.54144231335,562.1561539664165,454.86743858919726,0.16152916315785298,0.13424714975308066,0.15779129609370382,0.25
296 days,240382.2239115662,490.28789900584553,382.0341209131917,0.15552729946385396,0.12475260557934946,0.14916920419468577,0.25
297 days,240846.08244563974,490.760718115906,383.6571184264733,0.15678173766709402,0.12475260557934946,0.15030768743529083,0.25
298 days,261595.4129353427,511.4639898715673,407.8751948540375,0.17336093078956163,0.13424714975308066,0.16284106964625777,0.25
299 days,262839.04219945334,512.6783028366359,413.8546389977055,0.17628297004086427,0.13424714975308066,0.1656045872149392,0.25
300 days,260532.17209544862,510.42352227875296,424.4323109824096,0.17373952012879787,0.15151450196731675,0.16709914326234995,0.2
301 days,258856.92734672767,508.7798417259942,420.91516961780536,0.16665013794253603,0.16090455059164444,0.16268527486772738,0.2
302 days,245194.9535252861,495.17164046953064,404.5202976988013,0.15707448444069078,0.1433422683492826,0.15477187116001606,0.25
303 days,271389.9925377503,520.9510462008406,431.06408567062334,0.1601010937542422,0.15326934171779516,0.15903760535375086,0.2
304 days,307081.27319886826,554.1491434612782,461.9968595018812,0.16392006366389505,0.16868352987622642,0.16346146909641684,0.2
305 days,304690.69798758614,551.9879509442087,461.70257171286283,0.1631924826465459,0.15326934171779516,0.16254641713955434,0.2
306 days,317562.8633030253,563.527162879506,472.60759750369715,0.1633263771823017,0.1609373743018401,0.16264047143223034,0.2
324 days,279950.3957066244,529.1033884852982,438.8685734574242,0.1627131311343439,0.1609373743018401,0.16041522346600573,0.2
325 days,251532.57180371098,501.5302301992483,405.12831932767597,0.156468656565192,0.1530072353998651,0.1532558373803296,0.2
326 days,203846.18906176218,451.49328794763073,366.9675529036015,0.15589131792082592,0.1530072353998651,0.1510163529632929,0.2
327 days,207344.68956948287,455.3511717010102,372.01167125128234,0.1567117315081344,0.1530072353998651,0.1515584721130296,0.2
328 days,210590.60347852838,458.90151827873524,379.7330991379111,0.15889104088909392,0.16092528600461137,0.1535802737896681,0.2
329 days,213853.48886952936,462.44295742234993,387.8312605352179,0.16230300422159866,0.16118739232254142,0.15674957993951943,0.225
330 days,211157.51608079104,459.51878751667056,391.870650473477,0.1587903925305624,0.16092528600461137,0.155944156820462,0.15
