date,yhat_lakh,yhat_lower_lakh,yhat_upper_lakh,trend_lakh,actual_lakh
2026-05-01,1205.090924227594,1200.4611505990479,1211.0933769346304,1181.0889650363763,
2026-06-01,1210.6438192607056,1193.0727527476647,1221.5517558779154,1189.4591278665027,
2026-07-01,1218.73882007579,1195.8725027486478,1242.381957750767,1197.5592854440442,
2026-08-01,1223.216648513661,1176.786893095533,1260.5124378812,1205.9294482741705,
2026-09-01,1230.3641804860436,1160.295996902952,1279.7364882581212,1214.299611104297,
2026-10-01,1240.4630261819477,1153.0421889552672,1298.57947765862,1222.3997686818384,
2026-11-01,1245.91659577229,1147.8079035656976,1318.425439753398,1230.7699315119644,
2026-12-01,1255.3740551255567,1142.0349374823427,1342.7498588464837,1238.8700890895063,
2027-01-01,1266.1245122502885,1153.7474671429904,1372.2928627633194,1247.2402519196323,
2027-02-01,1274.2244940674366,1158.4313939371877,1396.794550078104,1255.6104147497585,
2027-03-01,1280.3195434163317,1159.8672171968153,1417.8810919935459,1263.1705618221308,
2027-04-01,1287.7201485081182,1169.3001948673352,1445.3928378286373,1271.5407246522568,
2027-05-01,1295.2521314262437,1190.3615252095728,1468.7537585982147,1279.6408822297985,
2027-06-01,1299.5086915228242,1193.1654004054667,1470.7025897540998,1288.0110450599248,
2027-07-01,1306.6796876164647,1197.1793014906896,1483.269581829242,1296.1112026374665,
2027-08-01,1309.8568168496595,1198.6744553507629,1494.9591614893263,1304.4813654675927,
2027-09-01,1315.5331518049188,1201.4572063860587,1512.9036229258647,1312.851528297719,
2027-10-01,1325.6692963286616,1217.3328738637601,1542.1009987536104,1320.9516858752606,
2027-11-01,1328.1424853808787,1223.9163221973592,1561.1653901581335,1329.3218487053869,
2027-12-01,1337.5844448694174,1231.656192125403,1579.0569023033395,1337.4220062829284,
2028-01-01,1348.6337561512275,1245.9636679517891,1617.8493100819492,1345.7921691130548,
2028-02-01,1356.2753555898669,1254.886892967043,1644.2762140118282,1354.162331943181,
2028-03-01,1364.3322479118974,1265.2163931994771,1670.6753842432342,1361.9924842681378,
2028-04-01,1367.3873965102289,1268.9490126179323,1688.6241610258844,1370.3626470982642,
